condition,group,scale,anisotropy_level,shift_level,image_id,rgb,rot_err_deg,trans_err_mm,add_mm,reproj_official_px,flip_gt_90,flip_gt_120,flip_gt_150,flip_gt_170,J_gt_px,J_pred_px,delta_J_px,res_rms_px,res_meannorm_px,res_coherent_px,res_lambda_max,res_lambda_min,res_anisotropy,res_max_px,res_median_px,kp_err_median_px,flag_solver_divergence,flag_catastrophic_kp,flag_pnp_exception,in_clean18
ISO_S10,grid,1,ISOTROPIC,ZERO,29,color_00033.png,3.4137,16.24,16.3277,0.6468,0,0,0,0,2.210831,1.978234,0.232598,2.423470,2.210834,0.000000,4.486867,1.386340,3.2365,3.7204,2.5710,2.5710,0,0,0,1
ISO_S10,grid,1,ISOTROPIC,ZERO,30,color_00034.png,180.0000,2636.29,2637.5356,0.9619,1,1,1,1,2.276048,2.346475,-0.070426,2.423470,2.276051,0.000000,3.673715,2.199491,1.6703,3.9219,2.1428,2.1428,0,0,0,1
ISO_S10,grid,1,ISOTROPIC,ZERO,31,color_00035.png,6.1392,61.81,61.8662,1.3638,0,0,0,0,2.095915,1.106451,0.989464,2.423470,2.095914,0.000000,4.320858,1.552349,2.7834,3.9021,2.1607,2.1607,0,0,0,1
ISO_S10,grid,1,ISOTROPIC,ZERO,32,color_00036.png,179.3811,2480.28,2481.5821,1.2667,1,1,1,1,2.211952,1.876075,0.335876,2.423470,2.211951,0.000000,4.865553,1.007654,4.8286,4.2675,1.7871,1.7871,0,0,0,1
ISO_S10,grid,1,ISOTROPIC,ZERO,33,color_00037.png,4.2969,70.46,70.4953,1.2299,0,0,0,0,2.202250,1.492331,0.709919,2.423470,2.202252,0.000000,4.145699,1.727507,2.3998,3.8505,2.1034,2.1034,0,0,0,1
ISO_S10,grid,1,ISOTROPIC,ZERO,34,color_00038.png,180.0000,2393.43,2394.6520,0.8277,1,1,1,1,2.104053,2.200741,-0.096688,2.423470,2.104050,0.000000,3.541443,2.331763,1.5188,4.3228,1.6402,1.6402,0,0,0,1
ISO_S10,grid,1,ISOTROPIC,ZERO,35,color_00039.png,180.0000,2371.44,2372.6955,1.1932,1,1,1,1,2.016315,1.712651,0.303664,2.423470,2.016316,0.000000,4.430975,1.442231,3.0723,4.9069,1.5043,1.5043,0,0,0,1
ISO_S10,grid,1,ISOTROPIC,ZERO,36,color_00040.png,177.6291,2445.64,2446.8646,1.2923,1,1,1,1,2.033997,2.254739,-0.220742,2.423470,2.033993,0.000000,4.438287,1.434919,3.0931,5.3687,1.7873,1.7873,0,0,0,1
ISO_S10,grid,1,ISOTROPIC,ZERO,37,color_00041.png,5.0531,62.29,62.3439,1.0712,0,0,0,0,2.208267,1.670030,0.538237,2.423470,2.208269,0.000000,4.641266,1.231940,3.7674,4.0629,1.9077,1.9077,0,0,0,1
ISO_S10,grid,1,ISOTROPIC,ZERO,38,color_00042.png,179.8771,2586.72,2587.9323,0.7428,1,1,1,1,2.040023,1.887195,0.152828,2.423470,2.040026,0.000000,4.418156,1.455051,3.0364,4.5595,1.3277,1.3277,0,0,0,1
