condition,group,sigma,image_id,rgb,rot_err_deg,trans_err_mm,add_mm,reproj_official_px,flip_gt_90,flip_gt_120,flip_gt_150,flip_gt_170,J_gt_px,J_pred_px,delta_J_px,res_rms_px,res_meannorm_px,res_coherent_px,res_median_px,res_p90_px,kp_err_median_px,flag_solver_divergence,flag_catastrophic_kp,flag_pnp_exception,in_clean18
SIG_S050,synthetic,0.5,21,color_00025.png,0.0000,9.68,9.6847,0.2140,0,0,0,0,0.436457,0.352717,0.083740,0.463826,0.436457,0.182030,0.4542,0.6109,0.4542,0,0,0,1
SIG_S050,synthetic,0.5,22,color_00026.png,1.9064,16.61,16.6234,0.5167,0,0,0,0,0.715508,0.476582,0.238926,0.794413,0.715508,0.406693,0.7781,1.1365,0.7781,0,0,0,0
SIG_S050,synthetic,0.5,23,color_00027.png,1.3481,0.44,1.0528,0.2562,0,0,0,0,0.668770,0.565824,0.102945,0.732348,0.668774,0.139701,0.6738,1.0540,0.6738,0,0,0,0
SIG_S050,synthetic,0.5,24,color_00028.png,0.0000,7.12,7.1375,0.2421,0,0,0,0,0.727027,0.675739,0.051288,0.763992,0.727027,0.163621,0.7095,1.0262,0.7095,0,0,0,1
SIG_S050,synthetic,0.5,25,color_00029.png,1.3926,3.39,3.4902,0.3087,0,0,0,0,0.597466,0.421840,0.175626,0.629307,0.597467,0.079901,0.5434,0.8342,0.5434,0,0,0,1
SIG_S050,synthetic,0.5,26,color_00030.png,0.8517,6.11,6.1269,0.1988,0,0,0,0,0.584303,0.555768,0.028535,0.651195,0.584300,0.050805,0.5772,0.8666,0.5772,0,0,0,1
SIG_S050,synthetic,0.5,27,color_00031.png,0.4096,11.16,11.1721,0.3949,0,0,0,0,0.648153,0.477053,0.171100,0.718227,0.648156,0.324529,0.5882,0.9920,0.5882,0,0,0,1
SIG_S050,synthetic,0.5,28,color_00032.png,0.0000,10.05,10.0573,0.3331,0,0,0,0,0.560898,0.471932,0.088966,0.678273,0.560897,0.314752,0.4956,1.0294,0.4956,0,0,0,1
SIG_S050,synthetic,0.5,29,color_00033.png,0.7104,4.78,4.8024,0.2221,0,0,0,0,0.678248,0.582285,0.095962,0.725781,0.678250,0.123188,0.7448,0.9492,0.7448,0,0,0,1
SIG_S050,synthetic,0.5,30,color_00034.png,0.0000,16.77,16.7665,0.2588,0,0,0,0,0.608567,0.538792,0.069775,0.665712,0.608570,0.143274,0.5440,0.9013,0.5440,0,0,0,1
SIG_S050,synthetic,0.5,31,color_00035.png,1.3915,15.51,15.5237,0.4122,0,0,0,0,0.611477,0.276411,0.335067,0.663720,0.611474,0.270727,0.4890,0.9367,0.4890,0,0,0,1
SIG_S050,synthetic,0.5,32,color_00036.png,1.9440,11.47,11.5233,0.4413,0,0,0,0,0.772440,0.509598,0.262842,0.856740,0.772438,0.101655,0.7247,1.1259,0.7247,0,0,0,1
SIG_S050,synthetic,0.5,33,color_00037.png,1.5293,27.24,27.2531,0.4890,0,0,0,0,0.844285,0.567674,0.276611,0.945682,0.844286,0.210367,0.8623,1.3633,0.8623,0,0,0,1
SIG_S050,synthetic,0.5,34,color_00038.png,0.0000,0.83,0.8585,0.2152,0,0,0,0,0.597900,0.566160,0.031740,0.659783,0.597897,0.205737,0.5603,0.9050,0.5603,0,0,0,1
SIG_S050,synthetic,0.5,35,color_00039.png,0.6555,11.47,11.4823,0.3455,0,0,0,0,0.761075,0.650511,0.110564,0.877535,0.761077,0.237511,0.7334,1.4699,0.7334,0,0,0,1
SIG_S050,synthetic,0.5,36,color_00040.png,1.0987,5.10,5.1689,0.3682,0,0,0,0,0.682902,0.560377,0.122525,0.841815,0.682898,0.121071,0.5558,1.1219,0.5558,0,0,0,1
SIG_S050,synthetic,0.5,37,color_00041.png,0.6484,12.09,12.1065,0.2185,0,0,0,0,0.449476,0.334479,0.114997,0.485143,0.449478,0.088211,0.4275,0.6225,0.4275,0,0,0,1
SIG_S050,synthetic,0.5,38,color_00042.png,0.0000,0.77,0.7778,0.3464,0,0,0,0,0.489151,0.364806,0.124345,0.555734,0.489151,0.349091,0.4821,0.8230,0.4821,0,0,0,1
SIG_S050,synthetic,0.5,39,color_00043.png,0.6384,0.60,0.8279,0.2640,0,0,0,0,0.646640,0.614309,0.032331,0.727020,0.646642,0.181183,0.7232,0.9745,0.7232,0,0,0,1
SIG_S075,synthetic,0.75,20,color_00024.png,0.9665,18.22,18.2321,0.4346,0,0,0,0,0.797654,0.672076,0.125578,0.931887,0.797651,0.340897,0.4867,1.3173,0.4867,0,0,0,1
SIG_S075,synthetic,0.75,21,color_00025.png,0.0000,14.45,14.4475,0.3210,0,0,0,0,0.654685,0.529175,0.125510,0.695739,0.654685,0.273045,0.6813,0.9164,0.6813,0,0,0,1
